DATE,Median
1/1/2001,26844
1/1/2002,26711
1/1/2003,27478
1/1/2004,27355
1/1/2005,30216
1/1/2006,33373
1/1/2007,37348
1/1/2008,37047
1/1/2009,35243
1/1/2010,36525
1/1/2011,34851
1/1/2012,33948
1/1/2013,36240
1/1/2014,35468
1/1/2015,38640
1/1/2016,38418
1/1/2017,37407
1/1/2018,38855
1/1/2019,45092
1/1/2020,51704
