DATE,RealGDP
1/1/2001,11899359
1/1/2002,12011233
1/1/2003,12303533
1/1/2004,12727406
1/1/2005,13075054
1/1/2006,13359533
1/1/2007,13543315
1/1/2008,13095372
1/1/2009,12542269
1/1/2010,12663998
1/1/2011,12687111
1/1/2012,12550935
1/1/2013,12818995
1/1/2014,12876980
1/1/2015,13299380
1/1/2016,13629749
1/1/2017,14039634
1/1/2018,13977767
1/1/2019,14286019
1/1/2020,14144123
