DATE,REALGDPALL36085
2001-01-01,11785291
2002-01-01,11876575
2003-01-01,12059828
2004-01-01,12477268
2005-01-01,12289178
2006-01-01,11874431
2007-01-01,12263222
2008-01-01,12686628
2009-01-01,12787003
2010-01-01,12998663
2011-01-01,13066280
2012-01-01,13123143
2013-01-01,13335893
2014-01-01,13384609
2015-01-01,13484405
2016-01-01,13588054
2017-01-01,13929032
2018-01-01,14769541
2019-01-01,14903066
2020-01-01,14270355
