DATE,TXHARR1URN
6/1/2011,8.8
7/1/2011,8.8
8/1/2011,8.4
9/1/2011,8.2
10/1/2011,7.6
11/1/2011,7.2
12/1/2011,7
1/1/2012,7.3
2/1/2012,7.1
3/1/2012,6.6
4/1/2012,6.2
5/1/2012,6.6
6/1/2012,7.2
7/1/2012,7.1
8/1/2012,6.7
9/1/2012,6.3
10/1/2012,6.1
11/1/2012,5.9
12/1/2012,6.1
1/1/2013,6.8
2/1/2013,6.4
3/1/2013,6.1
4/1/2013,5.8
5/1/2013,6.1
6/1/2013,6.6
7/1/2013,6.5
8/1/2013,6.2
9/1/2013,6.1
10/1/2013,5.8
11/1/2013,5.6
12/1/2013,5.3
1/1/2014,5.6
2/1/2014,5.6
3/1/2014,5.3
4/1/2014,4.7
5/1/2014,5
6/1/2014,5.4
7/1/2014,5.5
8/1/2014,5.3
9/1/2014,4.9
10/1/2014,4.6
11/1/2014,4.5
12/1/2014,4.2
1/1/2015,4.7
2/1/2015,4.5
3/1/2015,4.4
4/1/2015,4.2
5/1/2015,4.4
6/1/2015,4.9
7/1/2015,5
8/1/2015,4.9
9/1/2015,4.8
10/1/2015,4.8
11/1/2015,4.9
12/1/2015,4.6
1/1/2016,5
2/1/2016,4.9
3/1/2016,5.1
4/1/2016,4.9
5/1/2016,4.9
6/1/2016,5.7
7/1/2016,5.8
8/1/2016,5.8
9/1/2016,5.8
10/1/2016,5.4
11/1/2016,5.3
12/1/2016,5.4
1/1/2017,5.9
2/1/2017,5.8
3/1/2017,5.3
4/1/2017,5
5/1/2017,4.9
6/1/2017,5.3
7/1/2017,5.1
8/1/2017,5.3
9/1/2017,5
10/1/2017,4.5
11/1/2017,4.6
12/1/2017,4.6
1/1/2018,5.1
2/1/2018,4.9
3/1/2018,4.6
4/1/2018,4.3
5/1/2018,4.2
6/1/2018,4.8
7/1/2018,4.6
8/1/2018,4.5
9/1/2018,4.3
10/1/2018,3.9
11/1/2018,3.9
12/1/2018,4.1
1/1/2019,4.5
2/1/2019,4.1
3/1/2019,3.8
4/1/2019,3.4
5/1/2019,3.4
6/1/2019,4.1
7/1/2019,4.1
8/1/2019,4.1
9/1/2019,3.7
10/1/2019,3.6
11/1/2019,3.7
12/1/2019,3.6
1/1/2020,4.1
2/1/2020,3.9
3/1/2020,5.6
4/1/2020,14.5
5/1/2020,13.5
6/1/2020,12.1
7/1/2020,11.6
8/1/2020,8.5
9/1/2020,9.8
10/1/2020,8.2
11/1/2020,8
12/1/2020,7.7
1/1/2021,8.3
2/1/2021,8.4
3/1/2021,8
4/1/2021,7.2
5/1/2021,6.7
6/1/2021,7.4
7/1/2021,6.8
8/1/2021,6.1
9/1/2021,5.6
10/1/2021,5.4
11/1/2021,5.1
12/1/2021,4.8
