DATE,REALGDPALL12086
2001-01-01,104686083
2002-01-01,108321677
2003-01-01,110654389
2004-01-01,116667384
2005-01-01,121708386
2006-01-01,125810513
2007-01-01,126397846
2008-01-01,123194769
2009-01-01,114433596
2010-01-01,117755565
2011-01-01,118530318
2012-01-01,118537082
2013-01-01,122516704
2014-01-01,127026013
2015-01-01,131186062
2016-01-01,135688296
2017-01-01,141911182
2018-01-01,147635005
2019-01-01,148725621
2020-01-01,140522662
