DATE,RGMP36140
2001-01-01,4503.245
2002-01-01,4670.86
2003-01-01,4803.014
2004-01-01,4912.219
2005-01-01,5103.937
2006-01-01,5025.047
2007-01-01,4983.555
2008-01-01,5023.422
2009-01-01,4535.803
2010-01-01,4933.737
2011-01-01,4843.644
2012-01-01,4674.175
2013-01-01,4763.846
2014-01-01,4927.778
2015-01-01,4770.984
2016-01-01,4732.286
2017-01-01,4912.656
2018-01-01,4932.455
2019-01-01,4993.336
2020-01-01,4681.281
