DATE,GDP
1/1/2001,1020537.80
1/1/2002,1043566.90
1/1/2003,1050609.40
1/1/2004,1109477.00
1/1/2005,1141373.70
1/1/2006,1228547.30
1/1/2007,1286192.70
1/1/2008,1282088.70
1/1/2009,1277295.40
1/1/2010,1309962.40
1/1/2011,1353600.40
1/1/2012,1421180.10
1/1/2013,1484700.10
1/1/2014,1529617.10
1/1/2015,1605901.70
1/1/2016,1619954.20
1/1/2017,1664218.50
1/1/2018,1729286.60
1/1/2019,1785317.90
1/1/2020,1734321.10
