DATE,RGMP35380
2001-01-01,73442.166
2002-01-01,75328.739
2003-01-01,78918.745
2004-01-01,81334.302
2005-01-01,84318.92
2006-01-01,79449.804
2007-01-01,77914.104
2008-01-01,83433.636
2009-01-01,84651.941
2010-01-01,92142.273
2011-01-01,70704.727
2012-01-01,72043.147
2013-01-01,69331.425
2014-01-01,70312.627
2015-01-01,70756.036
2016-01-01,71093.484
2017-01-01,75926.007
2018-01-01,75223.663
2019-01-01,76309.865
2020-01-01,71916.039
