DATE,NORPOP
1/1/2000,1315.616
1/1/2001,1311.131
1/1/2002,1311.39
1/1/2003,1312.039
1/1/2004,1314.721
1/1/2005,1313.46
1/1/2006,987.535
1/1/2007,1109.415
1/1/2008,1168.547
1/1/2009,1189.981
1/1/2010,1195.368
1/1/2011,1214.209
1/1/2012,1227.264
1/1/2013,1240.094
1/1/2014,1249.547
1/1/2015,1261.063
1/1/2016,1268.633
1/1/2017,1271.46
1/1/2018,1271.921
1/1/2019,1273.979
1/1/2020,1272.258
